"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 27 07:16:45 GMT 2023","Wed Sep 27 07:16:47 GMT 2023","1991","chromiumWithLogin","pulpit.spec.ts","Pulpit tests","","","basic transfer",""
"passed","Wed Sep 27 07:16:36 GMT 2023","Wed Sep 27 07:16:37 GMT 2023","629","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","get single reseration",""
"passed","Wed Sep 27 07:16:35 GMT 2023","Wed Sep 27 07:16:35 GMT 2023","478","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","create reservation with random name",""
"passed","Wed Sep 27 07:16:35 GMT 2023","Wed Sep 27 07:16:36 GMT 2023","925","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","delete all reservations",""
"passed","Wed Sep 27 07:16:41 GMT 2023","Wed Sep 27 07:16:42 GMT 2023","908","chromiumWithLogin","login.spec.ts","User login to demo bank","","","unsuccesfull login too short username",""
"passed","Wed Sep 27 07:16:42 GMT 2023","Wed Sep 27 07:16:45 GMT 2023","2194","chromiumWithLogin","payment.spec.ts","Payment tests","","","simple payment",""
"passed","Wed Sep 27 07:16:32 GMT 2023","Wed Sep 27 07:16:34 GMT 2023","2229","setup","../global-setup.ts","","","","login",""
"passed","Wed Sep 27 07:16:39 GMT 2023","Wed Sep 27 07:16:41 GMT 2023","1368","chromiumWithLogin","login.spec.ts","User login to demo bank","","","succesfull login",""
"passed","Wed Sep 27 07:16:47 GMT 2023","Wed Sep 27 07:16:48 GMT 2023","1933","chromiumWithLogin","pulpit.spec.ts","Pulpit tests","","","balance test",""
"passed","Wed Sep 27 07:16:37 GMT 2023","Wed Sep 27 07:16:39 GMT 2023","2618","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","request intercaption practicesoftwaretesting.com",""
"passed","Wed Sep 27 07:16:42 GMT 2023","Wed Sep 27 07:16:42 GMT 2023","808","chromiumWithLogin","login.spec.ts","User login to demo bank","","","unsuccesfull login too short password",""
